Address;Price;Rooms;SquareMeters;Date;Etage;Wohnfläche;Baujahr;Raumhöhe;Anzahl Wohnungen;Letztes Renovationsjahr;Nutzfläche;Grundstückfläche;Kubatur;Anzahl Toiletten;Hallenhöhe;Mindestnutzfläche;Gasanschluss;Waschmaschine;Kabel-TV;Haustiere erlaubt;Gedeckt;Mit Gartenhaus;Parkplatz;Minergie Bauweise;Tumbler;Keller;Estrich;Rollstuhlgängig;Balkon / Terrasse;Spielplatz;Altbau;Stromanschluss;Neubau;Cheminée;Minergie zertifiziert;Rauchen erlaubt;Lift;Steamer;Garage;Ruhige Lage;Hochparterre;Aussicht;Reduit;No features found;Abwasseranschluss;Swimmingpool;Eckhaus;Kinderfreundlich;Wasseranschluss;Geschirrspüler;In Wohngemeinschaft;Objekttyp_Attikawohnung;Objekttyp_Bauernhaus;Objekttyp_Dachwohnung;Objekttyp_Doppeleinfamilienhaus;Objekttyp_Einfamilienhaus;Objekttyp_Einzelzimmer;Objekttyp_Hobbyraum;Objekttyp_Kellerabteil;Objekttyp_Loft;Objekttyp_Maisonette / Duplex;Objekttyp_Mehrfamilienhaus;Objekttyp_Reihenfamilienhaus;Objekttyp_Schloss;Objekttyp_Studio;Objekttyp_Terrassenhaus;Objekttyp_Terrassenwohnung;Objekttyp_Villa;Objekttyp_Wohnung;Coordinates;Latitude;Longitude
Ringstrasse, 8903 Birmensdorf ZH;3500.0;4.5;126.0;2024-04-02;0.0;126.0;2021.0;;0;;;;;0;;;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;(47.359214782714844, 8.454178810119629);47.359214782714844;8.454178810119629
8000 Zurich;3000.0;2.5;50.0;2024-04-02;3.0;50.0;2024.0;;0;;;;;0;;;False;True;True;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(None, None);;
Blumentalstrasse 14, 8707 Uetikon am See;3770.0;5.5;145.0;2024-04-02;1.0;145.0;2007.0;;0;;;;;0;;;False;True;True;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.263328552246094, 8.68281078338623);47.263328552246094;8.68281078338623
Zürcherstrasse 91, 8245 Feuerthalen;1850.0;3.5;59.0;2024-04-02;1.0;59.0;2024.0;2.4;0;;;;;0;;;False;False;True;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(None, None);;
Zürcherstrasse 91, 8245 Feuerthalen;1980.0;3.5;68.0;2024-04-02;0.0;68.0;2024.0;;0;;;726.0;;0;;;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;(None, None);;
Usterstrasse 127, 8620 Wetzikon;2880.0;4.5;102.0;2024-04-02;3.0;102.0;2024.0;2.5;0;;;;;0;;;False;True;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.329097747802734, 8.784480094909668);47.329097747802734;8.784480094909668
Hungerbergstrasse 15 / 17, 8046 Zürich;2185.0;2.5;;2024-04-02;3.0;;2024.0;;0;2024.0;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;(None, None);;
Müligrund, 8488 Turbenthal;1750.0;2.5;66.0;2024-04-02;0.0;66.0;2024.0;3.0;0;;;;;0;;;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;True;True;False;False;False;True;False;True;False;False;True;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(None, None);;
Zurlindenstrasse 111, 8003 Zürich;2730.0;1.5;45.0;2024-04-02;;45.0;2024.0;;0;;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.37103271484375, 8.518729209899902);47.37103271484375;8.518729209899902
Aemetstrasse 14, 8166 Niederweningen;2626.0;4.5;101.0;2024-04-02;0.0;101.0;2024.0;;0;;;;;0;;;False;False;False;False;False;False;True;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False;False;True;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.505516052246094, 8.375958442687988);47.505516052246094;8.375958442687988
Langstrasse 241, 8005 Zürich;3008.0;2.5;70.0;2024-04-02;4.0;70.0;;;0;;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.38426971435547, 8.531070709228516);47.38426971435547;8.531070709228516
Poststrasse 45, 8953 Dietikon;4080.0;4.5;121.0;2024-04-02;3.0;121.0;2024.0;2.4;0;;;;;0;;;False;True;False;False;False;False;True;False;False;False;False;True;True;False;False;False;True;False;False;False;True;False;True;True;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;(47.400333404541016, 8.403396606445312);47.400333404541016;8.403396606445312
Allmannstrasse 55, 8052 Zürich, 8052 Zürich;4125.0;4.5;100.0;2024-04-02;3.0;100.0;;;0;;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.41731262207031, 8.550938606262207);47.41731262207031;8.550938606262207
Allmannstrasse 55, 8052 Zürich, 8052 Zürich;3520.0;3.5;90.0;2024-04-02;0.0;90.0;;;0;;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.41731262207031, 8.550938606262207);47.41731262207031;8.550938606262207
Schaffhauserstrasse 6, 8400 Winterthur;1080.0;2.0;50.0;2024-04-02;2.0;50.0;;;0;;;;;0;;;False;False;False;True;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.5035285949707, 8.725122451782227);47.5035285949707;8.725122451782227
Im Russer 3M, 8708 Männedorf;4800.0;5.5;165.0;2024-04-02;;165.0;;;0;2023.0;;;;0;;;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;(47.26158142089844, 8.68919849395752);47.26158142089844;8.68919849395752
Schützenstrasse 11, 8953 Dietikon;2500.0;4.5;80.0;2024-04-02;1.0;80.0;1965.0;;0;2018.0;;;;0;;;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.402992248535156, 8.392807960510254);47.402992248535156;8.392807960510254
Alte Landstrasse 62, 8802 Kilchberg ZH;2150.0;3.5;;2024-04-02;;;;;0;;;;;0;;;False;False;True;True;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;True;False;False;True;True;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;(47.32876205444336, 8.54333782196045);47.32876205444336;8.54333782196045
Leehaldenweg 14A, 8153 Rümlang;2460.0;4.5;105.0;2024-04-02;1.0;105.0;2002.0;;0;2024.0;;;;0;;;False;False;False;False;False;False;True;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.44481658935547, 8.528467178344727);47.44481658935547;8.528467178344727
Katzenbachstrasse 221, 8052 Zürich;2986.0;4.5;117.0;2024-04-02;3.0;117.0;2009.0;;0;;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.42438507080078, 8.54216480255127);47.42438507080078;8.54216480255127
Riedthofstrasse 62, 8105 Regensdorf;2204.0;2.5;65.0;2024-04-02;4.0;65.0;2022.0;;0;;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.436859130859375, 8.468240737915039);47.436859130859375;8.468240737915039
Mühlestrasse 21, 8803 Rüschlikon;2285.0;4.5;80.0;2024-04-02;2.0;80.0;1962.0;;0;2011.0;;;;0;;;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.3068733215332, 8.55793285369873);47.3068733215332;8.55793285369873
Sonnenmatt 9, 8136 Gattikon;2140.0;3.5;89.0;2024-04-02;1.0;89.0;1971.0;;0;2015.0;;;;0;;;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.28419876098633, 8.54565143585205);47.28419876098633;8.54565143585205
Buckhauserstrasse 45, 8048 Zürich;3280.0;3.5;90.0;2024-04-02;4.0;90.0;;;0;;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.3843994140625, 8.493941307067871);47.3843994140625;8.493941307067871
Bergstr. 211, 8707 Uetikon am See;2330.0;4.5;109.0;2024-04-02;2.0;109.0;1985.0;;0;2000.0;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.26808547973633, 8.67477035522461);47.26808547973633;8.67477035522461
Baslerstrasse 71, 8048 Zürich;3167.0;3.0;74.0;2024-04-02;6.0;74.0;2020.0;;0;;;;;0;;;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.385684967041016, 8.497099876403809);47.385684967041016;8.497099876403809
Im Seewadel 36, 8105 Regensdorf;1980.0;3.5;75.0;2024-04-02;6.0;75.0;1964.0;;0;2013.0;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.43705368041992, 8.466517448425293);47.43705368041992;8.466517448425293
Am Pfisterhölzli 52, 8606 Greifensee;2520.0;5.5;110.0;2024-04-02;8.0;110.0;1970.0;;0;1993.0;;;;0;;;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;(47.36506271362305, 8.690546989440918);47.36506271362305;8.690546989440918
Haberweidstrasse 35, 8610 Uster;1740.0;3.5;80.0;2024-04-02;3.0;80.0;1961.0;;0;1996.0;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.361576080322266, 8.712916374206543);47.361576080322266;8.712916374206543
Pfirsichstrasse 7, 8006 Zürich;3175.0;3.0;68.0;2024-04-02;3.0;68.0;;;0;;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.38933181762695, 8.537666320800781);47.38933181762695;8.537666320800781
Kaiserstuhlerstrasse 15, 8187 Weiach;3240.0;4.5;206.0;2024-04-02;2.0;206.0;2023.0;;0;;;;;0;;;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;(47.55894470214844, 8.43367862701416);47.55894470214844;8.43367862701416
8304 Wallisellen;3612.0;4.5;108.0;2024-04-02;3.0;108.0;2021.0;;0;;;;;0;;;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.41829299926758, 8.58899974822998);47.41829299926758;8.58899974822998
Ankerstrasse 5, 8406 Winterthur;2675.0;5.0;95.0;2024-04-02;1.0;95.0;;;0;;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.49049377441406, 8.710612297058105);47.49049377441406;8.710612297058105
Haldenstrasse 14, 8045 Zürich;3697.0;3.5;86.0;2024-04-02;1.0;86.0;2022.0;;0;;;;;0;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.36336898803711, 8.518133163452148);47.36336898803711;8.518133163452148
Lyrenweg, 8047 Zürich;6600.0;5.5;;2024-04-02;;;;;0;2020.0;;;;0;;;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;(47.374351501464844, 8.482234954833984);47.374351501464844;8.482234954833984
Sonnentalstrasse, 8600 Dübendorf;3000.0;2.0;50.0;2024-04-02;2.0;50.0;2024.0;;0;;;;;0;;;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;(47.398468017578125, 8.6029691696167);47.398468017578125;8.6029691696167
